company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Raydiant,Canada,"  Work closely with other designers to develop concepts and take them from napkin sketch through to production. Solve complex problems to help develop a cohesive,…",ui ux designer,Senior Product Designer,full-time,"Vancouver, BC+1 location",2022-07-17,,
Seequent,Canada,"  Provide mentorship to other designers and guidance to cross-functional teams. Collaborate closely with other UI/UX designers, researchers, product managers,…",ui ux designer,Senior User Interface (UI) Designer,,"Hybrid remote in Toronto, ON+2 locations",2022-07-28,,
Lucova,Canada,  You are willing to go beyond expectations and are driven to deliver within timeline while maintaining the highest quality. Strong hand sketch artistic ability.,ui ux designer,Lead Designer,,"Toronto, ON",2022-07-17,,
Canadian National Railway,Canada,"  Collaborate with application designers, business groups, and architects to determine business objectives and purpose for the proposed application.",ui ux designer,Specialist UX/UI Design,,"Edmonton, AB",2022-07-17,3.1,
Donnelly Hospitality,Canada,"  Works closely with visual designers, interior designers, project leads, and marketers to identify cost estimates and breakdowns while delivering solutions…",ui ux designer,Senior Graphic Designer,,"Vancouver, BC",2022-07-17,,
Scotiabank,Canada,  You will drive Lean/agile UX approaches pervasively throughout the product lifecycle; helping designers to become the collaborative glue that facilitates…,ui ux designer,"Senior Product Designer, Scotia Digital (Vancouver Hub)",,"Remote in Vancouver, BC+1 location",2022-08-15,3.9,
Netleaf,Canada,  Nous sommes à la recherche de designers web qui sauront se débrouiller en intégration web sur WordPress. Netleaf aurait possiblement un poste pour toi!,ui ux designer,design web,full-time,"Quebec City, QC",2022-07-17,,
HiMama,Canada,"  You’re an ambitious designer who takes a human-centered approach to creating engaging, simple-to-use products. A portfolio of design case studies.",ui ux designer,Senior Product Designer,full-time,"Toronto, ON",2022-08-10,4.5,
Branton Advertising,Canada,  Degree or Diploma in Graphic Design. 4+ years of graphic design experience (preferably in an advertising role/agency). Web design and development capabilities.,ui ux designer,Senior Designer,,"London, ON",2022-07-17,,
Electronic Arts,Canada,"  EA's game engine, Frostbite, powers games such as Madden NFL, EA SPORTS™ FIFA, Battlefield™, Need for Speed™, Dragon Age™, and Plants vs. Zombies™.",ui ux designer,UX Designer - Game Engine Workflows,full-time,"Vancouver, BC",2022-07-17,3.8,
