company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
NXP Semiconductors,USA,"  Experience in creating marketing/product presentations and collateral. Manage the opportunity funnel across OEM, eco system partners and module vendors and work…",product manager,Senior Product Marketing Manager,full-time,"San Jose, CA 95134 (North San Jose area)+1 location",2022-07-17,3.9,
Tory Burch,USA,"  Minimum 3 years product management experience in retail e-commerce to include at least 2 years as a Senior Product Manager; Experience with CMS, Adobe, GA, PIM,…",product manager,"Senior Product Manager, Digital Site Experience",full-time,"New York, NY",2022-07-17,3.4,
SYMMETRY SURGICAL,USA,  Lead portfolio optimization activities for assigned product portfolio including: They will have global responsibility for product lifecycle management of their…,product manager,PRODUCT MANAGER - MINIMALLY INVASIVE SURGERY,full-time,Remote,2022-07-17,2.7,
Chamberlain Group,USA,"  Serve as a Product Owner leading the development and owning the implementation and sustaining of end user connected experiences, including uncovering real-time…",product manager,"Product Manager, Video Keypad - Remote",undefined,"Remote in Oak Brook, IL 60523+1 location",2022-07-17,3.7,114000-191000
Verkada,USA,  We are looking for our first product manager to build and own the end to end experience for our internal teams. Undergrad or masters in CS preferred.,product manager,"Product Manager, Internal Tools",full-time,"San Mateo, CA+4 locations",2022-07-22,3.5,
Hive,USA,"  Work closely with teams comprised of engineers, designers, sales, and play a critical role in planning of projects to ensure the timely delivery of quality…",product manager,"Product Manager, Hive Data",full-time,"San Francisco, CA+1 location",2022-08-16,,
Panduit,USA,  Preferred: 3 years of product marketing or product management experience in network infrastructure. Use Case Development: Maintain a deep understanding of…,product manager,Product Marketing Manager - Data Center - 100% Remote,full-time,"Remote in Tinley Park, IL",2022-07-17,3.6,
Chamberlain Group,USA,"  Serve as a Product Owner leading the development and owning the implementation and sustaining of end user connected experiences, including uncovering real-time…",product manager,"Product Manager, Video Keypad - Remote",undefined,"Remote in Oak Brook, IL 60523+1 location",2022-07-17,3.7,114000-191000
Panduit,USA,  Preferred: 3 years of product marketing or product management experience in network infrastructure. Use Case Development: Maintain a deep understanding of…,product manager,Product Marketing Manager - Data Center - 100% Remote,full-time,"Remote in Tinley Park, IL",2022-07-17,3.6,
Verkada,USA,  We are looking for our first product manager to build and own the end to end experience for our internal teams. Undergrad or masters in CS preferred.,product manager,"Product Manager, Internal Tools",full-time,"San Mateo, CA+4 locations",2022-07-22,3.5,
Hive,USA,"  Work closely with teams comprised of engineers, designers, sales, and play a critical role in planning of projects to ensure the timely delivery of quality…",product manager,"Product Manager, Hive Data",full-time,"San Francisco, CA+1 location",2022-08-16,,
Brain Corporation,USA,  Work closely with customer and translate the needs into a detailed well crafted product requirements document with prioritized product feature list.,product manager,Product Manager,full-time,"San Diego, CA",2022-07-23,,
Zimmer Biomet,USA,  Champions the brand through a comprehensive understanding of customer and end-user needs and product positioning relative to the competition.,product manager,Product Manager,full-time,"Warsaw, IN 46580+1 location",2022-08-12,3.5,
Digbi Health,USA,  Inform future roadmap and product packaging based on input from the consulting community. Partner closely with Sales and Customer Success to ensure consistency…,product manager,Product Marketing Manager,full-time,Remote,2022-07-19,,
T-Mobile,USA,"  Generates and maintains dashboards and reports that track product health and success metrics, technical KPI’s. Maintains current understanding of tech trends.",product manager,IAM Product Manager,full-time,"Trenton, NJ",2022-08-16,3.8,
Helen of Troy,USA,  Creates product briefs based on differentiated outstanding assortments with product concepts that deliver upon the Curlsmith consumers targeting curly hair.,product manager,"Sr. Manager, Product Development - Curlsmith",full-time,"Hybrid remote in Irvine, CA",2022-08-16,3.4,
Viasat,USA,"  Experience working with engineering teams, project managers, and program managers on formulating implementable and measurable execution plans.",product manager,Aviation Terminal Product Manager,undefined,"Carlsbad, CA+1 location",2022-07-22,3.7,157500
Guild Education,USA,"  Use data, user research, and market knowledge to craft a vision for your product area and identify areas of opportunity, building a case for new product…",product manager,"Senior Product Manager, Student Lifecycle (Remote)",undefined,"Remote in Denver, CO",2022-07-17,3.3,150000-195000
Brightly Software Inc.,USA,  Strong strategic thinking and experience developing successful product marketing strategies to drive product growth with new and existing clients.,product manager,Senior Product Marketing Manager (Remote),full-time,+1 locationRemote,2022-08-05,,
3Pillar Global,USA,  Demonstrated user obsession and passion for product. Proven ability to work with product designers and user experience teammates.,product manager,Senior Product Manager,full-time,"Remote in Washington, DC",2022-07-17,3.7,
Kpler,USA,"  Working with tech team to write requirements, prioritize, and do user validation. At least 2/3 years as Technical Product Manager or Software Engineer looking…",product manager,Product Manager - Data Ingestion,full-time,Remote,2022-07-17,,
Squarespace,USA,"  Lead the development of product positioning and messaging that differentiates our products in the market, and define go-to-market strategies for new product…",product manager,Senior Product Marketing Manager (remote),,"Remote in New York, NY 10014",2022-08-12,4.4,
