company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Global Payments,USA,"  3+ years of software development experience. Works throughout the software development life cycle and performs in a utility capacity to create, design, code,…",software engineer,.NET Software Engineer,full-time,"Boston, MA+2 locations",2022-07-21,3.4,
Western Digital,USA,  An employee’s pay position within the salary range may be based on several factors including but not limited to (1) relevant education; qualifications;…,software engineer,"New College Grad Engineer, Software Development Engineering...",full-time,"Remote in San Jose, CA 95138+27 locations",2022-07-17,3.8,
Unity Technologies,USA,"  Writing automated tests around new or existing functionality; coordinating with embedded QA to establish standard methodologies, investigation of issues, and…",software engineer,"Software Engineer, XR",,"Bellevue, WA+42 locations",2022-08-10,4.0,
SEACORP,USA,  Job Summary: Software engineers develop new computer software systems and to incorporate new technologies in a rapidly growing range of applications.,software engineer,Software Engineer II,holidays,"Newport, RI+6 locations",2022-08-16,4.4,
Braintree,USA,"  Build performance sensitive systems that serve tens of millions of requests each day. We have great benefits including a flexible work environment, employee…",software engineer,Software Engineer,full-time,"San Jose, CA+10 locations",2022-07-17,3.7,
"Konami Gaming, Inc.",USA,  Works with software engineers and other departments as needed to resolve issues reported from the field. Develops and directs software system testing procedures…,software engineer,Junior DevOps Software Engineer,full-time,"Las Vegas, NV 89119 (Paradise area)+1 location",2022-07-17,,
Intuit,USA,"Overview Our formula for innovation begins with agile, cross-functional teams that welcome diverse perspectives and embrace collaboration. Inspirational…",software engineer,Software Engineer 2 - Full Stack,,"Eagle, ID 83616+17 locations",2022-07-17,4.2,
Recondo Technology,USA,"  Knowledge of Jira or other Agile issue tracking software. Benefits include stock options, comprehensive coverage for medical, dental, life, disability, 401(k)…",software engineer,Reporting Software Engineer,full-time,"Denver, CO",2022-07-17,3.1,
Visa,USA,"  Travel Requirements: This position requires travel 5-10% of the time. Identify and document software/system defects in a clear, timely manner.",software engineer,Software Test Engineer - QA,full-time,"Highlands Ranch, CO+28 locations",2022-07-17,3.9,
New York University,USA,"  Work directly with clients to define system/application requirements and manage project implementation with little to no supervision, including acting as point…",software engineer,Software Engineer,full-time,"New York, NY 10012 (Greenwich Village area)+2 locations",2022-07-17,4.2,
8minute Solar Energy,USA,  1+ years of experience in software development. 1+ years professional experience in software development. Experience with AWS and other cloud technologies.,software engineer,Software Development Engineer,,+6 locationsRemote,2022-07-17,,
Radian,USA,"  Source control systems, Git, BitBucket, or similar. Understands source control management and build processes. Strong coding aptitude is a must.",software engineer,Software Engineer In Test - Salesforce - 100% Remote,undefined,"Remote in Wayne, PA 19087",2022-07-17,3.5,77540-120176
Tyfone,USA,  This role is eligible for our remote working or hybrid work model which allows employees to split their time between working on-site and off-site.,software engineer,Software Engineer USA,,Remote,2022-07-17,,
KITTY HAWK TECHNOLOGIES,USA,  The Junior Software Engineer requires the training and skills necessary to implement defined software development items in accordance with established software…,software engineer,Jr. Software Engineer,full-time,"King George, VA 22485",2022-07-17,5.0,
Simple Thread,USA,  The ideal candidate would have several years of experience working on production web applications. They would have a strong desire to straddle our design and…,software engineer,Front of the Front-End Engineer,full-time,"Remote in Glen Allen, VA",2022-07-17,,
Textron Aviation,USA,"  Health benefits beginning day one. Responsible for creation of automated cell concepts, authors Robotics/PLC contolling software, ensures proper operation of…",software engineer,2023 Entry Level - Automation &amp; Robotics Engineer,full-time,"Wichita, KS",2022-08-16,4.0,
Resonance AI,USA,  Experience operating independently in a software engineering role. Experience or familiarity with the following software/tools:,software engineer,Software Engineer - Frontend Engineer,full-time,"San Francisco, CA 94105 (Financial District/South Beach area)",2022-07-17,,
The Infosoft Group,USA,"  You're familiar with containerization and cloud computing concepts. You'll participate in an Agile software process that encourages creativity, collaboration,…",software engineer,Software Engineer,full-time,"Remote in Milwaukee, WI",2022-07-17,,
Saildrone,USA,"  Strong interpersonal skills - someone who pairs well with others, and is eager to help guide the technical direction of our software stack, and diligently…",software engineer,Software Engineer C++,full-time,"Alameda, CA 94501 (Alameda Point area)",2022-08-12,3.1,
Accelerated Information Systems,USA,  Participate in the development and delivery of solutions that directly impacts day to day activities of our clients. Handle multiple tasks on daily basis.,software engineer,"Software Developer (Full-Time, Entry-Level)",full-time,"Hicksville, NY 11801",2022-07-17,,
Rubrik Job Board,USA,"  As a part of Rubrik’s Quicksilver team you will design, implement, and test critical high quality, scalable distributed software systems.",software engineer,Software Engineer - Quicksilver - Frameworks,,"Palo Alto, CA+6 locations",2022-07-17,,
LifeWorks,USA,"  Identify, evaluate and propose technologies to add to our portfolio, from developer tooling to new cloud services. Azure, AWS or cloud-native infrastructure.",software engineer,Principal Software Engineer,full-time,Remote+2 locations,2022-08-16,3.1,
Visa,USA,  Travel Requirements: This position requires travel 5-10% of the time. Development of demo applications to showcase Visa Capabilities.,software engineer,Associate Software Engineer | Digital and Developer Platform,full-time,"Miami, FL+6 locations",2022-07-17,3.9,
Ojas Innovative Technologies,USA,"Job Details Software Engineer Title : Software Engineer Job Skills : Java, Python Job Role : Software Engineer Experiance : NA Location : LA,…",software engineer,Software Engineer,,"Los Angeles, CA+1 location",2022-07-17,,
Inspirato,USA,"  Experience working with client side package management systems, loaders and task runners. NET technologies. We are looking for a sharp, business-oriented…",software engineer,Principal Software Engineer,undefined,+1 locationRemote,2022-07-17,3.3,140000-185000
"Hitachi Astemo Americas, Inc.",USA,  Work with the software engineering project team to support the design and functionality of software delivered to the customer.,software engineer,Software Engineer,full-time,"Farmington Hills, MI+5 locations",2022-08-09,,
DISQO,USA,"  Strong knowledge of software engineering best practices and design patterns. Businesses trust DISQO to power better decisions for every customer, touchpoint,…",software engineer,Software Engineer - Java (Remote - US),full-time,+4 locationsRemote,2022-07-19,5.0,
