company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
"JPMorgan Chase Bank, N.A.",AUSTRALIA,"  Morgan is one of the few full-service and fully-integrated financial institutions, providing products and services from J.P.",data analyst,CIB - Credit Risk Analyst - Australia,full-time,Sydney NSW,2022-07-27,3.8,
DWS,AUSTRALIA,"  Exciting projects with some of Australia's best Tier 1 enterprise businesses. Applicants must hold Australian Citizenship, Permanent Residency (PR) – DWS are…",data analyst,Senior Business Analyst,undefined,Brisbane QLD+2 locations,2022-07-26,3.7,150000
EY,AUSTRALIA,"  Worked in a similar Business/Data Analyst position for at least 3-5 years with experience in data management, data governance and data strategy.",data analyst,Technical Business Analyst | Data &amp; Analytics,,Perth WA 6000+1 location,2022-08-05,4.0,
Sportsbet,AUSTRALIA,"  2+ years in an analytics manager, business analyst or data analyst role. Analyse data to clarify and validate requirements Analysis.",data analyst,Data Science Business Analyst / Enablement Manager,full-time,Melbourne VIC,2022-08-04,2.8,
Reserve Bank of Australia,AUSTRALIA,"  Experience in defining data reconciliation rules and building data reconciliation frameworks. A very good knowledge on test automation frameworks, particularly…",data analyst,Senior Test Analyst (ETL/Data-warehousing),contract,Sydney NSW,2022-08-03,4.0,
Manpower,AUSTRALIA,  Knowledge of both quantitative and qualitative data analyses. Provide data analytic assistance and training to other Agency staff.,data analyst,Data Analyst / Statistician,,Brisbane Central Business District QLD,2022-08-05,3.8,
Zip Co,AUSTRALIA,"  Good SQL Server skills for performing complex queries and data manipulation. We are looking for a Data Analyst to join our Analytics team, supporting the…",data analyst,"Data Analyst, Customer Solutions",full-time,Sydney NSW,2022-07-28,,
EY,AUSTRALIA,"  Passionate about solving big complex problems using data and technology. Designing, building and implementing some of the largest data and cloud solutions in…",data analyst,Data &amp; Analytics - Financial Services,undefined,Sydney NSW 2000,2022-07-17,4.0,73500
ING,AUSTRALIA,"  We’re looking for a Campaign Data Analyst in KYC for a 12 months fixed term contract to sit within our targeted marketing team to support the retail bank, in…",data analyst,Campaign Data Analyst (KYC) - 12 months Fixed Term Contract,full-time,Sydney NSW,2022-07-29,3.9,
DHL,AUSTRALIA,  Manage solution design data requirements and address gaps to complete effective design of supply chain solutions. Support the design of supply chain projects.,data analyst,Horsley Park | Solutions Design Analyst,contract,New South Wales,2022-07-27,3.7,
Suncorp Group,AUSTRALIA,"  Effective coordination of all data inputs to audit reporting and information repositories, ensuring data accuracy and security in line with information…",data analyst,Operations Analyst - Internal Audit,permanent,Australia,2022-08-06,3.5,
Link Group,AUSTRALIA,"  The process analyst will be responsible for identifying the business processes, analyse and determine the process changes due to transition, document the As-Is…",data analyst,Process Analyst,,Melbourne VIC,2022-08-10,2.7,
RAA,AUSTRALIA,"  As the Data Governance Analyst on the program, you'll assist in the development of the data governance framework to the project to the program to ensure best…",data analyst,Data Governance Analyst,full-time,Mile End SA,2022-07-17,3.1,
Australian Federal Police (AFP),AUSTRALIA,"  Demonstrated experience with modern data analytics, data engineering and/or platforms. The roles are jointly responsible for developing and supporting new…",data analyst,"Data Analysts, Data Engineers and Platform Administrators",undefined,Canberra ACT,2022-08-11,3.8,99929-110255
Bank of Queensland,AUSTRALIA,"  Further to optimising performance of the data analytics solutions and monitoring data usage, you will be key in deriving insights from business processes across…",data analyst,Senior Azure Enterprise Data Analyst,full-time,Brisbane QLD,2022-08-12,3.5,
NSW Government -Department of Education,AUSTRALIA,"  Experience with data analytics and data visualisation tools, such as Power BI. Work effectively to deliver solutions suitable for stakeholders with varying…",data analyst,Senior Data Analyst,full-time,Hybrid remote in Parramatta NSW,2022-08-02,3.9,
NAB - National Australia Bank,AUSTRALIA,  Work type: Permanent Full time. Showcase your exceptional experience in Big Data and Data Engineering. This team leads the TDM design as well as oversees the…,data analyst,Senior Analyst Data Engineer,permanent,Melbourne VIC,2022-07-17,3.6,
Optus,AUSTRALIA,"  Outstanding financial modelling, data analysis and pricing skills; In this hands-on role within evaluating new B2B business opportunities by developing business…",data analyst,Commercial Analyst - Fixed Term Contact,,Sydney NSW,2022-08-01,3.7,
Macquarie Group Limited,AUSTRALIA,"  A solid business analyst background preferably in the banking and financial services or data space. Experience with big data and/or a data lake, and the…",data analyst,Data Transformation Business Analyst,,Sydney NSW,2022-08-04,3.8,
CGI Inc,AUSTRALIA,"  In your role as a business analyst you will join the newly created Space, Defence and Intelligence sector in Australia. Experience in any sector is welcome.",data analyst,Business Analyst,full-time,Sydney NSW,2022-07-29,3.6,
Anglicare,AUSTRALIA,"  This role will be responsible for working across the current scope of projects, defining requirements, scoping the range of solutions and determining which fits…",data analyst,IT Business Analyst,full-time,Hills District NSW,2022-08-10,3.2,
Optus,AUSTRALIA,"  Performing data, statistical and commercial analysis to understand how customer behaviour, product changes and market dynamics impact the consumer business.",data analyst,Senior Data Analyst,,Hybrid remote in Sydney NSW,2022-08-05,3.7,
